Issue Type,Key,Status,Priority,Summary,Original Time Estimated,Σ,Estimated Time Remaining,Σ,Total Time Spent,Σ,Accuracy,Σ,Accuracy (%),Σ
Bug,WS-579,Done,Blocker,Alert tells user which reports to use,-,-,0m,0m,7h 47m,7h 47m,,,,
Bug,WS-581,Done,Critical,Error when opening app on android mobile,-,-,0m,0m,3h 45m,3h 45m,,,,
Story,WS-583,Done,Major,As a user when I first setup my account I should start getting insights,-,-,0m,0m,3h,3h,,,,
Bug,WS-596,Done,Major,Improve the LLM error responses,-,-,0m,0m,2h 35m,2h 35m,,,,
Bug,WS-598,Done,Critical,Got error about the alert being more than daily though I created an alert that was supposed to check weekly,-,-,0m,0m,3h 4m,3h 4m,,,,
Task,WS-608,Done,Critical,Implement batch processing for alerts,-,-,0m,0m,2h 15m,2h 15m,,,,
Task,WS-631,Done,Critical,Update the Quickbooks mapping,-,-,0m,0m,3h 10m,3h 10m,,,,
Bug,WS-638,Done,Major,Alert Schedule errors,-,-,0m,0m,1d 1h 19m,1d 1h 19m,,,,
Story,WS-648,Done,Critical,I should be able to connect quickbooks to WeOS as a first time user,-,-,0m,0m,1d 19m,1d 19m,,,,
Bug,WS-651,Done,Minor,Long load times on Activity Feed,50m,50m,0m,0m,1h 5m,1h 5m,15 minutes,15 minutes,-30,-30
Bug,WS-657,Done,Major,Alerts repeating multiple times on prod,-,-,0m,0m,2h 20m,2h 20m,,,,
Task,WS-689,Done,Major,Tech Debt - UX/UI Tweaks to get beta launch ready,-,-,0m,0m,2h,2h,,,,
Story,WS-698,Done,Major,I should be able to get a new Insight each day,-,-,0m,0m,45m,45m,,,,
Story,WS-732,Done,Major,Add placeholder text on alert create,2h,2h,0m,0m,3h 30m,3h 30m,"1 hour, 30 minutes","1 hour, 30 minutes",-75,-75
Task,WS-745,Done,Major,UX/UI tweaks part 2,3h,3h,0m,0m,3h 30m,3h 30m,30 minutes,30 minutes,-16,-16
Bug,WS-749,Done,Blocker,Insights aren't generated based on prod data sometimes,-,-,0m,0m,4h 30m,4h 30m,,,,
Task,WS-752,Done,Major,UX/UI tweaks part 3,4h 30m,4h 30m,0m,0m,5h,5h,30 minutes,30 minutes,-11,-11
Story,WS-755,Done,Major,As a user I should be able to see recommended alerts related to the insight I received,-,-,0m,0m,2h 25m,2h 25m,,,,
Task,WS-757,Done,Major,Make it so that when a users reads a message they can receive new notifications,0m,0m,0m,0m,45m,45m,45 minutes,45 minutes,,
Task,WS-758,Done,Critical,Make it so that the Profit and Loss igniter is run 4 days after the user sets up,-,-,0m,0m,1h 15m,1h 15m,,,,
Story,WS-718,Done,Major,Add footer to the application,1h,1h,24m,24m,1h 56m,1h 56m,"1 hour, 20 minutes","1 hour, 20 minutes",-133,-133
Task,WS-546,Done,Critical,Upgrade the version of opentelemetry that we use,-,-,40m,40m,4h,4h,,,,
Story,WS-469,Done,Major,As a user I should be able to see data insights on the home screen,2h,2h,2h,2h,-,-,-,-,0,0
Task,WS-416,Done,Critical,Turn off API Deck,-,-,-,-,-,-,,,,
Story,WS-470,Done,Major,As a user I should be able to view insight details,-,-,-,-,-,-,,,,
Story,WS-649,Done,Major,I should be able to login with my Quickbooks account,-,-,-,-,-,-,,,,
Task,WS-652,Done,Critical,Add alert creation endpoint to the alert service,-,-,-,-,-,-,,,,
Improvement,WS-707,Done,Critical,Revert IAM Authentication on RDS,-,-,-,-,-,-,,,,
Story,WS-717,Done,Minor,Add source info to card,-,-,-,-,-,-,,,,
,,,,Total,1d 5h 20m,1d 5h 20m,3h 4m,3h 4m,2w 3d 2h 51m,2w 3d 2h 51m,"2 weeks, 2 days, 35 minutes","2 weeks, 2 days, 35 minutes",-964,-964
