Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Improvement,In Progress,Blocker,"['Optimize', 'OAuth', 'Integration', 'flow']",360,908
Task,QA,Major,"['Make', 'agent', 'runs', 'tool', 'retries', 'result', 'error']",240,400
Task,QA,Major,"['Make', 'MCP', 'return', 'items', 'descending', 'updated', 'date', 'much', 'possible']",0,75
Task,QA,Major,"['Create', 'agent', 'runs', 'algorithm', 'steps', 'complete', 'final', 'result']",240,300
Task,QA,Major,"['Make', 'MCP', 'return', 'next', 'cursor', 'results']",0,90
Story,To Do,Major,"['I', 'able', 'install', 'personal', 'assistant']",480,442
Story,In Progress,Major,"['I', 'able', 'setup', 'manufacturing', 'cost', 'assistant']",0,339
 Subtask,Done,Major,"['Add', 'schemas', 'prompt']",30,75
 Subtask,Done,Major,"['Create', 'embeddings', 'queries']",360,792
 Subtask,Done,Critical,"['Update', 'query', 'removes', 'duplicates', 'uses', 'data', 'Shawline', 'Facility']",120,302
 Subtask,In Progress,Major,"['What', 'caused', 'change', 'value', 'inventory', 'last', 'week']",0,141
Subtask,Done,Minor,"['Update', 'homescreen', 'updated', 'tagline']",0,10
Subtask,Done,Minor,"['Fix', 'initial', 'icon', 'landing', 'screen']",60,210
Subtask,Done,Minor,"['Ensure', 'integrations', 'icons']",30,90
Subtask,Done,Major,"['Redirect', 'back', 'main', 'chat', 'installing', 'integration']",10,10
Subtask,Done,Major,"['Make', 'message', 'input', 'smaller']",90,140
Subtask,Done,Major,"['Update', 'UI', 'send', 'query', 'parameters', 'subresouce', 'page']",0,60
Subtask,Done,Major,"['Update', 'google', 'calendar', 'package', 'subscribe', 'unsubscribe', 'handlers']",0,300
Subtask,Done,Major,"['Update', 'Setup', 'subscription', 'handler', 'Account', 'Service']",0,120
Subtask,Done,Major,"['Setup', 'Netsuite', 'Provider', 'IAM']",60,218
Subtask,Done,Major,"['Create', 'graphQL', 'schema']",30,233
Subtask,Done,Major,"['Add', 'netsuite', 'integration']",120,229
Subtask,Done,Major,"['Update', 'graphql', 'controller', 'pass', 'id_token', 'request']",0,20
Subtask,Done,Major,"['Update', 'grapql', 'controller', 'handle', 'multiple', 'calendars']",0,120
Subtask,Done,Major,"['Update', 'schemas', 'match', 'assistant']",30,30
Subtask,Done,Major,"['Clean', 'mappings', 'stuff']",0,60
Subtask,Done,Major,"['Update', 'logo', 'homescreen', 'higher', 'res', 'version']",0,30
Subtask,Done,Major,"['Update', 'images', 'assistants', 'high', 'res', 'images']",0,120
Subtask,Done,Major,"['Make', 'item', 'idtitlename', 'render', 'columns', 'first']",0,60
Subtask,Done,Major,"['Deploy', 'staging']",0,60
Bug,Done,Major,"['Error', 'returned', 'app', 'workflow', 'steps']",0,70
Subtask,Done,Major,"['Update', 'mappings']",0,60
Subtask,Done,Major,"['Make', 'table', 'render', 'nested', 'fields']",0,120
Subtask,Done,Major,"['Update', 'assistant', 'manifest', 'new', 'images']",0,60
Bug,Done,Major,"['Error', 'unexpected', 'response', 'assistant', 'service', 'creating', 'manu', 'asst']",0,15
Subtask,Done,Major,"['Add', 'endpoint', 'integration', 'valid', 'integration', 'jwt', 'token']",10,10
Subtask,Done,Major,"['Create', 'command', 'handler', 'pull', 'assistant', 'check', 'specific', 'integrations', 'exist']",120,130
Subtask,Done,Major,"['Return', 'errors']",10,10
Subtask,Done,Major,"['Add', 'notification', 'bar', 'top', 'chat', 'container']",120,210
Bug,QA,Minor,"['Square', 'install', 'working']",0,30
Subtask,Done,Major,"['Update', 'Iam', 'return', 'expires', 'property']",30,84
Bug,Done,Blocker,"['When', 'user', 'access', 'prod', 'sandbox', 'Nesuite', 'redirected', 'prod', 'OAuth']",0,23
Subtask,Done,Major,"['Show', 'accounts', 'largest', 'variances', 'compared', 'previous', 'month']",120,208
Subtask,Done,Major,"['Are', 'expenses', 'accounts', 'credit', 'balance']",120,415
Subtask,Done,Major,"['Can', 'identify', 'duplicate', 'transactions', 'last', 'quarter']",120,180
Subtask,Done,Major,"['Are', 'roundsum', 'entries', 'major', 'expense', 'accounts']",120,120
Subtask,Done,Major,"['Create', 'embeddings', 'queries', 'test']",0,75
Subtask,Done,Major,"['Update', 'IAM', 'work', 'apideck', 'provider']",0,335
Subtask,Done,Major,"['Add', 'filters', 'balance', 'sheets']",0,90
Subtask,Done,Major,"['Update', 'provider', 'manifest', 'apideck']",0,60
Subtask,Done,Major,"['Add', 'ledger', 'account', 'mapping', 'update', 'bill', 'mapping']",0,330
Subtask,Done,Major,"['Handle', 'nuisances', 'filters']",0,720
Subtask,Done,Major,['Deployment'],30,190
Subtask,Done,Major,"['Removed', 'hardcoded', 'credentials']",60,120
Subtask,Done,Major,"['Test', 'Queries', 'Dev', 'staging']",120,120
Subtask,Done,Major,"['Update', 'table', 'formatting']",0,120
Bug,Done,Major,"['Log', 'loop']",0,30
Subtask,Done,Major,"['checking', 'balance', '11302023']",30,125
Subtask,Done,Major,"['Getting', 'balances', 'expense', 'accounts']",120,360
Subtask,Done,Major,"['Get', 'trial', 'balance', 'specific', 'date']",120,807
Subtask,Done,Major,"['Make', 'account', 'schema', 'use', 'balance', 'sheet', 'report', 'profit', 'loss', 'endpoint']",0,480
Subtask,Done,Major,"['Update', 'assistant', 'service', 'check', 'python', 'code', 'returned', '401', '403', 'response', 'return', 'code', 'app']",60,200
Subtask,Done,Major,"['Update', 'app', 'user', 'reauthorize', 'integration', 'assistant', 'service', 'returned', '401', '403']",60,80
Subtask,Done,Major,"['Update', 'integration', 'service', 'return', 'integration', 'threw', 'error', 'response', 'error', 'message']",60,147
Task,Done,Major,"['Switch', 'Quickbooks', 'Prod']",0,309
 Subtask,Done,Major,"['Update', 'app', 'create', 'conversation', 'user', 'account', 'service', 'returns', '404']",0,95
 Subtask,Done,Major,"['Fix', 'issue', 'users', 'consumer_id', 'used', 'api', 'deck', 'even', 'though', 'using', 'someone', 'elses', 'assistant']",0,135
Subtask,Done,Major,"['Update', 'resolver', 'return', 'errors', 'controller']",120,120
Bug,Done,Major,"['Login', 'issues']",20,20
Subtask,Done,Major,"['Fix', 'error', 'quickbooks', 'yaml', 'file']",0,60
Subtask,Done,Major,"['Update', 'table', 'component', 'handle', 'date', 'columns']",0,10
Subtask,Done,Major,"['test', 'dev', 'staging']",0,60
Subtask,Done,Major,"['Test', 'dev']",0,85
Subtask,Done,Major,"['Setup', 'sending', 'invite', 'app']",0,135
Subtask,Done,Major,"['Are', 'journal', 'entries', 'Dec']",0,135
Subtask,In Progress,Major,"['How', 'much', 'spend', 'Auditing', 'year']",0,40
Subtask,Done,Major,"['AP', 'account', 'balance']",0,40
Subtask,In Progress,Major,"['Did', 'SPAC', 'admin', 'expenses', 'last', 'month']",0,45
Subtask,Done,Major,"['much', 'I', 'owe', 'grammarly']",0,305
Task,QA,Critical,"['Preprocess', 'Queries', 'making', 'embedding']",0,120
 Subtask,Done,Major,"['Create', 'link', 'Getting', 'embeddings', 'uses', 'LLM', 'normalize', 'query']",60,86
Subtask,To Do,Major,"['Testing', 'dev']",0,105
Subtask,Done,Major,"['Update', 'provider', 'quickbooks']",0,10
Subtask,Done,Critical,"['Setup', 'Account', 'Mapping', 'filters']",0,46
Subtask,Done,Major,"['Update', 'resolver', 'use', 'realm', 'id']",0,10
Subtask,Done,Major,"['create', 'share', 'assistant', 'handler', 'account', 'service']",120,394
Subtask,Done,Major,"['Update', 'share', 'assistant', 'handler', 'fetch', 'user', 'email', 'IAM', 'user', 'exist', 'create', 'user', 'account', 'email']",10,20
Subtask,Done,Major,"['update', 'account', 'validation', 'middleware', 'user', 'would', 'able', 'message', 'shared', 'assistant']",60,90
Subtask,Done,Major,"['update', 'account', 'validation', 'middleware', 'assistant', 'owner', 'manage', 'shared', 'assistants']",60,65
Subtask,Done,Major,"['update', 'app', 'disable', 'install', 'delete', 'buttons', 'assistant', 'shared']",0,45
Subtask,Done,Major,"['update', 'handlers', 'check', 'assistant', 'shared', 'making', 'token', 'request', 'IAM', 'use', 'parent', 'account', 'ID', 'assistant', 'get', 'token']",60,60
Subtask,Done,Major,"['create', 'event', 'handler', 'would', 'update', 'shared', 'assistants', 'parent', 'assistant', 'updated']",60,120
Subtask,Done,Major,"['create', 'even', 'handler', 'would', 'delete', 'shared', 'assistants', 'parent', 'assistant', 'updated']",60,187
Subtask,Done,Major,"['create', 'social', 'connection', 'auth0', 'WeOS']",0,33
Subtask,Done,Major,"['fix', 'issue', 'microsoft', 'login', 'throwing', 'error', 'see', 'comment']",0,103
Subtask,Done,Major,"['Investigate', 'Transaction', 'endpoint', 'see', 'fits', 'use', 'case']",0,90
Subtask,In Progress,Critical,"['What', 'checking', 'account', '8048']",20,30
Subtask,Done,Major,"['Is', 'anything', 'deferred', 'tax', 'assets']",20,20
Subtask,Done,Major,"['What', 'balance', 'due', 'Trajectory', 'Capital', 'LLC']",40,20
Subtask,In Progress,Major,"['How', 'much', 'SPAC', 'expenses', 'first', 'quarter']",0,133
Subtask,In Progress,Major,"['What', 'Other', 'Income', 'amount', 'full', 'year']",45,50
Subtask,Done,Major,"['How', 'much', 'Miscellaneous', 'Expense', 'year']",0,45
Subtask,Done,Major,"['create', 'event', 'handler', 'would', 'createupdate', 'sub', 'resources', 'shared', 'assistant', 'integration', 'parent', 'updated']",75,80
Task,Done,Major,"['Add', 'data', 'tag', 'message', 'input', 'make', 'easier', 'target', 'Selenium', 'tests']",10,10
Subtask,Done,Major,"['update', 'app', 'handle', 'install', 'url', 'assistantId', 'query', 'parameter']",0,100
Subtask,Done,Major,"['update', 'IAM', 'sort', 'list', 'users', 'descending', 'order']",0,26
Subtask,Done,Major,"['update', 'integration', 'service', 'use', 'owner', 'id', 'get', 'iam', 'token', 'shared', 'assistant']",0,105
Task,Done,Major,"['Improve', 'retrieval', 'adding', 'context', 'embeddings']",120,450
 Subtask,Done,Critical,"['Update', 'RAG', 'pipeline', 'generate', 'use', 'Algorithms', 'retrieval']",0,60
Subtask,Done,Major,"['test', 'dev']",0,90
Subtask,Done,Major,"['hook', 'removing', 'shared', 'user']",60,105
Subtask,Done,Major,"['Deploy', 'Staging']",0,15
Subtask,Done,Major,"['set', 'invite', 'status']",0,365
Subtask,Done,Major,"['Investigate', 'General', 'Ledger']",0,160
Bug,Done,Major,"['Fix', 'delete', 'handler', 'services']",0,30
Task,Done,Critical,"['Use', 'fuzzy', 'search', 'like', 'queries']",0,45
 Subtask,Done,Major,"['Experiment', 'httpsgithubcomrapidfuzzRapidFuzz']",0,180
 Subtask,Done,Major,"['Experiment', 'httpsgithubcomlithammerfuzzysearch']",0,120
 Subtask,Done,Major,"['Compare', 'experiments']",0,45
Bug,Done,Major,"['Deleting', 'integration', 'work', 'expected']",0,20
Task,Done,Major,"['Setup', 'experiment', 'see', 'reducing', 'time', 'window', 'would', 'improve', 'response', 'accuracy']",0,260
Task,Done,Major,"['Setup', 'experiment', 'remove', 'sending', 'generated', 'response', 'conversation', 'history']",0,170
Bug,Done,Major,"['Error', 'response', 'bug']",0,373
Bug,Done,Major,"['Invite', 'email', 'sent']",0,20
Task,Done,Major,"['Can', 'create', 'prompt', 'identify', 'correct', 'report', 'date', 'range', 'query', 'respond', 'users', 'query']",0,948
 Subtask,Done,Major,"['create', 'feedback', 'loop', 'handle', 'error', 'responses']",0,156
 Subtask,Done,Major,"['Update', 'assistant', 'handler', 'return', 'markdown', 'md', 'property', 'would', 'easier', 'render', 'front', 'end']",0,35
 Subtask,Done,Major,"['Get', 'LLM', 'return', 'correct', 'dates', 'reports']",0,158
Story,Done,Major,"['As', 'developer', 'I', 'able', 'query', 'quickbooks', 'report', 'integration', 'service']",0,150
 Subtask,Done,Major,"['Add', 'quickbooks', 'api', 'create', 'report', 'schema', 'mapping']",0,20
 Subtask,Done,Major,"['Create', 'resolver', 'hit', 'quickbooks', 'reports']",0,630
Story,Done,Major,"['As', 'user', 'I', 'able', 'remove', 'shared', 'assistant', 'account']",0,240
Subtask,Done,Major,"['Update', 'controller', 'pull', 'baseUrl', 'integration', 'add', 'context']",0,15
Subtask,Done,Major,"['Update', 'quickbooks', 'resolver', 'check', 'baseUrl', 'context', 'found', 'fallback', 'default']",0,30
Story,Done,Major,"['As', 'user', 'I', 'able', 'resend', 'delete', 'pending', 'invite']",0,30
 Subtask,Done,Major,"['Update', 'shared', 'assistant', 'handler', 'check', 'code', 'exists', 'status', 'pending', 'update', 'expiry', 'date']",0,60
 Subtask,Done,Major,"['Updated', 'weosapp', 'remove', 'pending', 'user', 'shared', 'users', 'array', 'update', 'assistant']",0,90
Subtask,Done,Major,"['update', 'app', 'render', 'markdown']",0,36
Bug,Done,Minor,"['The', 'date', 'user', 'message', 'created', 'seem', 'saving']",0,50
Story,Done,Major,"['As', 'user', 'I', 'able', 'accept', 'invite', 'even', 'email', 'address', 'account', 'different', 'invite']",0,240
 Subtask,Done,Major,"['update', 'share', 'assistant', 'handler', 'set', 'code', 'expiration', 'date', 'shared', 'user', 'array']",0,90
 Subtask,Done,Major,"['update', 'handler', 'check', 'user', 'code']",0,60
 Subtask,Done,Major,"['update', 'app', 'pass', 'invite', 'code']",0,20
 Subtask,Done,Major,"['remove', 'code', 'pulls', 'user', 'iam', 'use', 'user', 'jwt']",0,30
Improvement,Done,Major,"['Giving', 'finance', 'assistant', 'accounting', 'knowledge', 'would', 'make', 'perform', 'better']",0,240
Subtask,Done,Major,"['Remove', 'mapping', 'code']",0,70
Subtask,Done,Major,"['Make', 'default', 'integrations', 'setup', 'start']",0,150
Task,Deploy to Staging,Critical,"['Can', 'get', 'LLM', 'use', 'context', 'interpret', 'question', 'NOT', 'use', 'previous', 'responses', 'answer', 'question']",0,172
Task,Closed,Critical,"['As', 'user', 'I', 'able', 'use', 'demo', 'assistant', 'try', 'WeOS']",0,186
 Subtask,Done,Major,"['add', 'event', 'handler', 'would', 'fetch', 'users', 'DB', 'create', 'shared', 'assistant', 'account']",0,365
 Subtask,Done,Major,"['Add', 'event', 'handler', 'would', 'add', 'demo', 'assistant', 'new', 'users']",0,120
 Subtask,Done,Major,"['create', 'event', 'handler', 'would', 'add', 'demo', 'assistants', 'collection']",0,65
 Subtask,Done,Major,"['create', 'publish', 'demo', 'assistant', 'manifest']",0,35
 Subtask,Done,Major,"['make', 'admins', 'view', 'install', 'demo', 'assistant']",0,30
 Subtask,Done,Major,"['create', 'event', 'handler', 'would', 'remove', 'demo', 'assistant', 'collection', 'admin', 'deletes', 'demo', 'assistant']",0,80
 Subtask,Done,Major,['Deploy'],0,15
Improvement,In Progress,Major,"['Confirm', 'delta', 'reports', 'used', 'make', 'Smart', 'Brevity', 'summaries']",0,57
Subtask,Done,Major,"['Setup', 'go', 'service', 'runs', 'cron', 'job']",0,120
Subtask,Done,Major,"['Create', 'structs', 'Invoice', 'Customer', 'Bills', 'Account']",0,160
Subtask,Done,Major,"['Create', 'function', 'generate', 'Bill', 'using', 'gofakeit']",0,20
Subtask,Done,Major,"['Create', 'function', 'generate', 'Invoice', 'using', 'gofakeit']",0,60
Task,Done,Major,"['Will', 'LLM', 'respond', 'budget', 'questions', 'well', 'given', 'budget', 'detail']",0,240
Subtask,Done,Major,"['Create', 'function', 'generate', 'Customer', 'using', 'gofakeit']",0,30
Subtask,Done,Major,"['Copy', 'function', 'gets', 'machine', 'machine', 'token']",0,2
Subtask,Done,Major,"['Create', 'function', 'hit', 'IAM', 'get', 'QuickBooks', 'token']",0,10
Subtask,Done,Major,"['Update', 'security', 'tokens', 'route', 'IAM', 'allow', 'service']",0,10
Subtask,Done,Major,"['Create', 'workflow', 'creates', 'new', 'customers', 'makes', 'bills', 'customer', 'generates', 'invoices']",0,120
Subtask,Done,Major,"['Create', 'workflow', 'pulls', 'existing', 'customers', 'pays', 'bills']",0,60
Improvement,Done,Critical,"['Can', 'get', 'LLM', 'identify', 'key', 'financial', 'changes', 'alert']",0,252
Improvement,In Progress,Critical,"['Can', 'get', 'alerts', 'take', 'account', 'users', 'focus', 'comments']",0,166
Subtask,Done,Major,"['Add', 'receiver', 'creating', 'alert']",120,150
Subtask,Done,Major,"['Create', 'event', 'handler', 'creates', 'job', 'cron', 'scheduler', 'run', 'user', 'query', 'returned']",120,147
Subtask,Done,Major,"['Add', 'option', 'create', 'new', 'alert', 'menu']",30,30
Subtask,Done,Major,"['Add', 'collection', 'alerts']",0,138
Subtask,Done,Major,"['Create', 'conversation', 'alert', 'created']",0,27
Subtask,Done,Major,['Deploy'],30,30
Subtask,Done,Major,"['Add', 'initializer', 'starts', 'alerts', 'service', 'starts']",0,20
Subtask,Done,Major,"['Add', 'check', 'query', 'returned', 'working']",0,274
Subtask,Done,Major,"['Update', 'prompt', 'user', 'set', 'cadence', 'would', 'extracted', 'similar', 'query', 'extracted']",0,50
Subtask,Done,Major,"['Make', 'apis', 'could', 'call', 'assistant', 'service', 'query']",0,406
Subtask,Done,Major,"['If', 'alert', 'successfully', 'added', 'return', 'user', 'friendly', 'confirmation']",0,177
Subtask,Done,Major,"['Create', 'additional', 'workflows']",0,105
Task,Done,Critical,"['Update', 'weos', 'version', 'services']",0,45
Subtask,Done,Major,"['Make', 'accounts', 'added', 'removed']",0,30
Subtask,Done,Major,['Deploys'],0,76
Story,Done,Major,"['As', 'user', 'I', 'able', 'deactivate', 'alert']",0,60
 Subtask,Done,Major,"['Add', 'active', 'property', 'alert']",10,10
 Subtask,Done,Major,"['Update', 'send', 'query', 'function', 'check', 'alert', 'active', 'running', 'query']",20,20
 Subtask,Done,Major,"['Add', 'deactivate', 'button', 'alerts', 'front', 'end', 'make', 'request', 'update', 'active', 'property', 'alert', 'clicked']",40,100
Subtask,Done,Major,"['Make', 'delete', 'assistant', 'would', 'delete', 'alerts', 'alert', 'service', 'run', 'initializer']",0,137
Subtask,Done,Major,['Deploy'],0,147
Subtask,Done,Major,"['Make', 'cadence', 'lower', 'day', 'cant', 'set']",0,25
Subtask,Done,Major,"['Make', 'workflow', 'pay', 'invoices']",0,120
Subtask,Done,Major,"['Make', 'undeposited', 'funds', 'transferred', 'checking', 'account']",0,60
Subtask,Done,Major,"['Add', 'endpoint', 'runs', 'demo', 'manually']",0,45
Subtask,Done,Major,"['Create', 'alert', 'card']",0,25
Subtask,Done,Major,"['Create', 'chat', 'card']",0,60
Subtask,Done,Major,"['Create', 'home', 'screen']",0,210
Subtask,Done,Major,"['Create', 'notification', 'alert', 'triggered']",180,335
Subtask,Done,Major,"['Create', 'modal', 'creates', 'alerts']",0,137
Subtask,Done,Major,"['Hook', 'ups']",0,150
Task,To Do,Minor,"['Make', 'alerts', 'take', 'account', 'users', 'timezone']",0,20
Task,In Progress,Major,"['Refactor', 'Weos', 'app']",0,60
 Subtask,In Progress,Major,"['setup', 'mobile', 'builds']",0,390
Subtask,Done,Major,"['Create', 'reusable', 'chat', 'container', 'component']",0,195
Subtask,Done,Major,"['Link', 'nonfictions', 'open', 'using', 'chat', 'component']",0,20
Subtask,Done,Major,"['Add', 'context', 'back', 'user', 'continue', 'conversation']",60,75
Subtask,Done,Major,"['Pass', 'notficationtypes', 'front', 'end']",0,30
Subtask,Done,Major,"['Update', 'r', 'AlertSetup', 'Run', 'pass', 'notifications', 'types', 'alert', 'service']",0,60
Subtask,Done,Major,"['Update', 'Runquery', 'function', 'alert', 'service', 'send', 'email', 'notification', 'created']",0,130
Subtask,Done,Major,"['Append', 'snooze', 'icon', 'hover', 'desktop', 'view']",0,30
Subtask,Done,Major,"['Allow', 'sliding', 'notification', 'left', 'right', 'snooze']",0,255
Subtask,Done,Major,"['Add', 'endpoint', 'delete', 'notification', 'alert', 'service']",0,30
Subtask,Done,Major,"['Add', 'receiver', 'update', 'alert', 'trigger', 'notification', 'deleted']",0,225
Task,In Progress,Major,"['Implement', 'better', 'tracing', 'using', 'Opentelemetry']",0,295
 Subtask,In Progress,Major,"['Instrument', 'Alert', 'Service']",0,40
Improvement,Done,Major,"['Can', 'easily', 'implement', 'coach', 'marks', 'app']",0,225
Subtask,Done,Major,"['setup', 'endpoint', 'gets', 'events', 'accountid']",0,10
Subtask,Done,Major,"['update', 'homescreen', 'pull', 'activity', 'list']",0,180
Subtask,Done,Major,"['add', 'notification', 'button', 'sends', 'user', 'notification', 'screen']",0,60
Subtask,Done,Major,"['create', 'schema', 'events']",0,20
Subtask,Done,Major,"['update', 'run', 'query', 'function', 'create', 'event', 'alert', 'ran']",0,60
Subtask,Done,Major,"['Create', 'alert', 'list', 'item', 'component']",0,20
Subtask,Done,Major,"['Create', 'alert', 'screen']",0,140
Subtask,Done,Major,"['Create', 'filter', 'function', 'alerts']",0,30
Subtask,Done,Major,"['Add', 'next', 'run', 'property', 'alert']",0,30
Subtask,Done,Major,"['Update', 'Run', 'alert', 'function', 'assistant', 'service', 'update', 'alert', 'already', 'exist']",0,40
Subtask,Done,Major,"['Update', 'validate', 'alerts', 'event', 'handler', 'alert', 'service', 'handle', 'updating', 'alert']",0,60
Subtask,Done,Major,"['Create', 'split', 'screen', 'desktop', 'view']",0,240
Subtask,Done,Major,"['Make', 'sidebar', 'bar', 'collapsible']",0,30
Subtask,Done,Major,"['Create', 'mobile', 'screens']",0,120
Subtask,Done,Major,"['Add', 'update', 'alert', 'endpoint', 'alert', 'service']",0,10
Subtask,Done,Major,"['update', 'open', 'telemetry', 'SDK', 'version', 'cloud', 'module']",0,10
Subtask,Done,Major,"['update', 'micoservices', 'use', 'updated', 'version', 'open', 'telemetry']",0,40
Subtask,Done,Major,"['create', 'event', 'handler', 'delete', 'notifications', 'alert', 'deleted']",60,60
Subtask,Done,Major,"['create', 'confirmation', 'modal']",60,90
Subtask,Done,Major,"['hook', 'delete']",90,120
Subtask,Done,Major,"['add', 'viewed', 'property', 'notification', 'shcema']",0,10
Subtask,Done,Major,"['truncate', 'activity', 'show', 'button']",0,45
Subtask,Done,Major,"['make', 'notifcation', 'open', 'marked', 'viewed', 'updated']",0,10
Subtask,Done,Major,"['Add', 'filter', 'last', 'run', 'date']",0,30
Subtask,Done,Major,"['make', 'icons', 'colored']",0,30
Subtask,Done,Major,"['llm', 'generate', 'title', 'alert']",0,70
Subtask,Done,Major,"['add', 'separate', 'buttons', 'instead', 'toggle']",0,20
Subtask,Done,Major,"['store', 'state', 'local', 'storage']",0,60
Subtask,Done,Major,"['add', 'code', 'property', 'alerts']",0,5
Subtask,Done,Major,"['update', 'request', 'assistant', 'service', 'pass', 'gpt4', 'model', 'header']",0,32
Subtask,Done,Major,"['Update', 'assistant', 'service', 'use', 'gpt', 'model', 'header', 'set']",0,35
Subtask,Done,Major,"['add', 'pyhton', 'model', 'assistant', 'service']",0,80
Subtask,Done,Major,"['Update', 'alert', 'service', 'check', 'alert', 'associated', 'code', 'run', 'code', 'instead', 'making', 'request', 'assistant', 'service']",0,214
Subtask,Done,Major,"['Update', 'send', 'query', 'function', 'make', 'request', 'models', 'compare', 'cosine', 'similarity']",0,213
Subtask,Done,Major,"['Create', 'insight', 'service']",0,60
Subtask,Done,Major,"['Deploy', 'insight', 'service']",120,202
Subtask,Done,Major,"['create', 'dummy', 'data', 'insights']",15,30
Subtask,Done,Major,"['update', 'app', 'fetch', 'render', 'insights', 'insight', 'service']",60,130
Subtask,Done,Major,"['Add', 'schema', 'endpoints', 'insights']",60,310
Subtask,Done,Major,"['Add', 'filter', 'activity']",0,30
Task,To Do,Major,"['Cash', 'Flow', 'UI']",0,120
Subtask,Done,Major,"['Create', 'insight', 'list', 'item', 'component']",45,45
Subtask,Done,Major,"['Create', 'Insight', 'screen', 'desktop']",45,45
Subtask,Done,Major,"['Create', 'insight', 'card', 'component']",90,280
Subtask,Done,Major,"['Create', 'insight', 'view', 'component']",45,45
Subtask,Done,Major,"['update', 'delete', 'alerts', 'handler', 'delete', 'one', 'alert', 'alert', 'id', 'passed']",180,210
Subtask,Done,Major,"['Update', 'Bill', 'Mapping']",0,230
Subtask,Done,Major,"['Add', 'Journal', 'Entry', 'Mapping']",0,190
Subtask,Done,Major,"['Add', 'profit', 'loss', 'mapping']",0,358
Subtask,Done,Major,"['Add', 'Balance', 'sheet', 'mapping']",0,495
Subtask,Done,Major,"['Add', 'vendor', 'mapping']",0,115
Subtask,Done,Major,"['Add', 'Trial', 'balance', 'mapping']",0,45
Subtask,Done,Major,"['Create', 'function', 'parse', 'Trial', 'balance', 'report', 'mapping']",0,90
Improvement,Done,Critical,"['Can', 'use', 'balance', 'sheet', 'starting', 'point', 'providing', 'insights', 'recommended', 'alerts']",0,360
 Subtask,Done,Major,"['Can', 'identify', 'transaction', 'caused', 'issue', 'account', 'balance']",0,60
 Subtask,Done,Major,"['Can', 'use', 'profit', 'lost', 'identify', 'trendsissues']",300,220
Subtask,Done,Major,"['Add', 'Customer', 'mapping']",0,227
Subtask,Done,Major,"['Add', 'Invoice', 'mapping']",0,60
Subtask,Done,Major,"['add', 'middleware', 'would', 'allow', 'admins', 'edit', 'cron', 'tab', 'alert']",60,90
Subtask,Done,Major,"['copy', 'workflows', 'assistant', 'service', 'add', 'cloud', 'module']",120,180
Subtask,Done,Major,"['Update', 'run', 'query', 'function', 'use', 'workflows', 'cloud', 'module', 'run', 'validate', 'alert']",90,563
Subtask,Done,Major,"['create', 'alert', 'setup', 'hander', 'alert', 'service']",60,179
Subtask,Done,Major,"['create', 'start', 'link', 'would', 'extract', 'actionable', 'items', 'balance', 'sheet']",120,950
Subtask,Done,Major,"['create', 'ignite', 'handler', 'generating', 'insights']",60,406
